details_id,job_ids,company_Name,designations,industry,employees_count,linkedin_followers,involvement,level,total_applicants,City,State
1,3973300317,Wipro,Business Analyst,IT Services and IT Consulting,10001,9367083,Full-time,Full-time,195,Pune, Maharashtra
2,3974757094,Cognizant,Process Executive - Data,IT Services and IT Consulting,10001,7473534,Full-time,Entry level,23,Pune, Maharashtra
3,3977531665,American Express,Analyst-Data Analytics,Financial Services,10001,2222834,Full-time,Entry level,102,Gurugram, Haryana
4,3976176383,eClerx,Analyst,Information Technology & Services,10001,321131,Full-time,Entry level,25,Pune, Maharashtra
5,3969988271,Marsh McLennan,Speacialist - Data Analytics and Insights,Financial Services,10001,626941,Full-time,Mid-Senior level,165,Mumbai, Maharashtra
6,3973937959,Sakshath Technologies®,Business Analyst,IT Services and IT Consulting,200,5631,Full-time,Entry level,94,Mumbai, Maharashtra
7,3973940307,Michael Page,Tech Business Analyst,Staffing and Recruiting,10000,3668722,Full-time,Entry level,80,Gurgaon, Haryana
8,3974265125,Infosys BPM,Process Executive,IT Services and IT Consulting,10001,1539122,Full-time,Entry level,112,Pune, Maharashtra
9,3976167209,NetApp,"Business Data Analyst (Power BI, Tableau, Data Analytics )",Software Development,10001,684025,Full-time,Full-time,158,Bengaluru, Karnataka
10,3978493692,Niveus Solutions,Associate - Business Analyst,IT Services and IT Consulting,1000,33742,Full-time,Entry level,0,Gurgaon, Haryana
11,3973947304,TETRAHED INC,BI Analyst,IT Services and IT Consulting,200,13837,Full-time,Associate,112,Bengaluru, Karnataka
12,3974478602,Masan Group,Data Analyst,Retail,10001,25961,Full-time,Associate,131,Bengaluru, Karnataka
13,3973939578,Sakshath Technologies®,Business Analyst,IT Services and IT Consulting,200,5631,Full-time,Mid-Senior level,170,Bengaluru, Karnataka
14,3955620798,dss+,Analyst - Knowledge Management,Business Consulting and Services,5000,106289,Full-time,Entry level,183,Mumbai, Maharashtra
15,3975538342,Thakral One,Data Analytics,IT Services and IT Consulting,1000,20468,Full-time,Associate,123,Mumbai, Maharashtra
16,3975656700,Quorum Software,Data Analyst and BI Developer (Hybrid Work Schedule),Software Development,5000,22146,Full-time,Entry level,116,Pune, Maharashtra
17,3973970908,Wipro,Associate,IT Services and IT Consulting,10001,9367083,Full-time,Full-time,67,Hyderabad, Telangana
18,3976148045,PTC,Associate QA Analyst,Software Development,10000,339371,Full-time,Full-time,181,Pune, Maharashtra
19,3978487757,PhonePe,Business Operations Analyst,Software Development,10000,1013775,Full-time,Associate,90,Bengaluru, Karnataka
20,3974753912,Bright Money,Data Analyst Intern,Financial Services,200,109063,Internship,Internship,130,Bengaluru, Karnataka
21,3955936593,Tata Consultancy Services,Oracle PeopleSoft,IT Services and IT Consulting,10001,15502314,Full-time,Mid-Senior level,116,Mumbai, Maharashtra
22,3975000430,Wipro,Executive/Senior Executive,IT Services and IT Consulting,10001,9367105,Full-time,Full-time,3,Pune, Maharashtra
23,3973944718,TETRAHED INC,BI Analyst,IT Services and IT Consulting,200,13838,Full-time,Associate,108,Hyderabad, Telangana
24,3973410237,Super Scholar,Technical Business Analyst,Business Consulting and Services,50,41696,Full-time,Full-time,114,Worli, Maharashtra
25,3977851459,Bristol Myers Squibb,Business Analyst I,Pharmaceutical Manufacturing,10001,1434972,Full-time,Entry level,121,Hyderabad, Telangana
26,3964916933,Tata Consultancy Services,Oracle Apps Technical (Walk-in-Drive),IT Services and IT Consulting,10001,15502324,Full-time,Associate,108,Mumbai, Maharashtra
27,3958388357,Biocon,Lead QC Microbiology-Injectables,Biotechnology Research,10000,815862,Full-time,Mid-Senior level,180,Bengaluru, Karnataka
28,3973965141,Cognizant,Business Associate,IT Services and IT Consulting,10001,7473541,Full-time,Entry level,41,Pune, Maharashtra
29,3954294107,Citi,Analyst : Business Analytics,Financial Services,10001,4339121,Full-time,Full-time,159,Bengaluru, Karnataka
